Alcaldía,Fecha,Predicción de Delitos
VENUSTIANO CARRANZA,2024-04-21,32
VENUSTIANO CARRANZA,2024-04-22,32
VENUSTIANO CARRANZA,2024-04-23,32
VENUSTIANO CARRANZA,2024-04-24,32
VENUSTIANO CARRANZA,2024-04-25,32
VENUSTIANO CARRANZA,2024-04-26,32
VENUSTIANO CARRANZA,2024-04-27,32
VENUSTIANO CARRANZA,2024-04-28,32
VENUSTIANO CARRANZA,2024-04-29,32
VENUSTIANO CARRANZA,2024-04-30,32
VENUSTIANO CARRANZA,2024-05-01,32
VENUSTIANO CARRANZA,2024-05-02,32
VENUSTIANO CARRANZA,2024-05-03,32
VENUSTIANO CARRANZA,2024-05-04,32
VENUSTIANO CARRANZA,2024-05-05,32
VENUSTIANO CARRANZA,2024-05-06,32
VENUSTIANO CARRANZA,2024-05-07,32
VENUSTIANO CARRANZA,2024-05-08,32
VENUSTIANO CARRANZA,2024-05-09,32
VENUSTIANO CARRANZA,2024-05-10,32
VENUSTIANO CARRANZA,2024-05-11,32
VENUSTIANO CARRANZA,2024-05-12,32
VENUSTIANO CARRANZA,2024-05-13,32
VENUSTIANO CARRANZA,2024-05-14,32
VENUSTIANO CARRANZA,2024-05-15,32
VENUSTIANO CARRANZA,2024-05-16,32
VENUSTIANO CARRANZA,2024-05-17,32
VENUSTIANO CARRANZA,2024-05-18,32
VENUSTIANO CARRANZA,2024-05-19,32
VENUSTIANO CARRANZA,2024-05-20,32
VENUSTIANO CARRANZA,2024-05-21,32
VENUSTIANO CARRANZA,2024-05-22,32
VENUSTIANO CARRANZA,2024-05-23,32
VENUSTIANO CARRANZA,2024-05-24,32
VENUSTIANO CARRANZA,2024-05-25,32
VENUSTIANO CARRANZA,2024-05-26,32
VENUSTIANO CARRANZA,2024-05-27,32
VENUSTIANO CARRANZA,2024-05-28,32
VENUSTIANO CARRANZA,2024-05-29,32
